Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
Glycated hemoglobin,915082,477384,Protein,P68871
Angiotensin-converting enzyme,593232,"ACE, Dipeptidyl carboxypeptidase I, Kininase II, CD143",Protein,P12821
Anti-acetylcholine receptor antibody,243864,"AChR antibody, AChR-Ab",Protein,P02708
Adenosine deaminase,416151,"ADA, Adenosine aminohydrolase",Protein,P00813
Alpha-fetoprotein,430441,"AFP, α-fetoprotein, alpha-1-fetoprotein, FETA",Protein,P02771
Pappalysin-1,118551,"PAPPA, Pregnancy-associated plasma protein-A, DIPLA1, IGFBP-4ase",Protein,Q13219
Aldolase A,162926,"ALDOA, Aldolase, Muscle-type aldolase, Fructose-bisphosphate aldolase A",Protein,P04075
Alpha-1-antitrypsin,239457,"A1AT, AAT, SERPINA1, alpha-1-antiproteinase, PI (Protease Inhibitor)",Protein,P01009
Serum amyloid A-1 protein,928582,"SAA1, SAA, Amyloid protein A",Protein,P0DJI8
Interleukin-2 receptor subunit alpha,645278,"IL2RA, CD25, sIL-2R, Tac antigen, T-cell activation antigen",Protein,P01589
Mucin-1,555110,"MUC1, CD227, PEM, PUM, Episialin, CA 15-3, CA 27.29",Protein,P15941
Lysozyme C,813566,"LYZ, Muramidase, 1,4-beta-N-acetylmuramidase",Protein,P61626
Aspartate Transaminase,641395,"AST, SGOT (Serum glutamic-oxaloacetic transaminase), GOT1",Protein,P17174
C-reactive protein,185851,"CRP, hs-CRP, Pentraxin 1, PTX1",Protein,P02741
Osteocalcin,297295,"BGLAP, Bone gamma-carboxyglutamic acid-containing protein",Protein,P02818
Undercarboxylated Osteocalcin,666056,ucOC,Protein,P02818
N-terminal pro-B-type Natriuretic peptide,274783,NT-proBNP,Protein,P16860
Gamma-glutamyltranspeptidase,744864,"GGT, GGTP, GGT1, Gamma-glutamyl transferase",Protein,P19440
Antimitochondrial antibodies,556463,"AMA, AMA-M2",Protein,P10515
Antineutrophil cytoplasmic antibodies,114319,"ANCA, c-ANCA, p-ANCA",Protein,P24158 / P05164
