Biomarker Name,ID,Exhaustive Synonyms,Type
Glycated hemoglobin,P68871,"HbA1c, A1C, Hemoglobin A1c, Glycohemoglobin",Protein
Angiotensin-converting enzyme,P12821,"ACE, Dipeptidyl carboxypeptidase I, Kininase II, CD143",Protein
Anti-acetylcholine receptor antibody,P02708,"AChR antibody, AChR-Ab",Protein
Adenosine deaminase,P00813,"ADA, Adenosine aminohydrolase",Protein
Alpha-fetoprotein,P02771,"AFP, α-fetoprotein, alpha-1-fetoprotein, FETA",Protein
Pappalysin-1,Q13219,"PAPPA, Pregnancy-associated plasma protein-A, DIPLA1, IGFBP-4ase",Protein
Aldolase A,P04075,"ALDOA, Aldolase, Muscle-type aldolase, Fructose-bisphosphate aldolase A",Protein
Alpha-1-antitrypsin,P01009,"A1AT, AAT, SERPINA1, alpha-1-antiproteinase, PI (Protease Inhibitor)",Protein
Serum amyloid A-1 protein,P0DJI8,"SAA1, SAA, Amyloid protein A",Protein
Interleukin-2 receptor subunit alpha,P01589,"IL2RA, CD25, sIL-2R, Tac antigen, T-cell activation antigen",Protein
Mucin-1,P15941,"MUC1, CD227, PEM, PUM, Episialin, CA 15-3, CA 27.29",Protein
Lysozyme C,P61626,"LYZ, Muramidase, 1,4-beta-N-acetylmuramidase",Protein
Aspartate Transaminase,P17174,"AST, SGOT (Serum glutamic-oxaloacetic transaminase), GOT1",Protein
C-reactive protein,P02741,"CRP, hs-CRP, Pentraxin 1, PTX1",Protein
Osteocalcin,P02818,"BGLAP, Bone gamma-carboxyglutamic acid-containing protein",Protein
Undercarboxylated Osteocalcin,P02818,ucOC,Protein
N-terminal pro-B-type Natriuretic peptide,P16860,NT-proBNP,Protein
Gamma-glutamyltranspeptidase,P19440,"GGT, GGTP, GGT1, Gamma-glutamyl transferase",Protein
Antimitochondrial antibodies,P10515,"AMA, AMA-M2",Protein
Antineutrophil cytoplasmic antibodies,P24158 / P05164,"ANCA, c-ANCA, p-ANCA",Protein
Anti-Streptolysin O antibodies,P0DF96,"ASO, ASLO",Protein
Anti-DNase B Antibodies,Q5R2S1,"Anti-DNase B, Anti-streptodornase B",Protein
Cancer Antigen 15-3,P15941,"CA 15-3, Carbohydrate Antigen 15-3",Protein
Anti-cyclic Citrullinated Peptide,N/A,"Anti-CCP, ACPA (Anti-citrullinated protein antibody)",Protein
C-terminal telopeptide,P02452,"CTX, CTX-I, Beta-CrossLaps, C-terminal cross-linking telopeptide",Protein
N-terminal propeptide of type 1 procollagen,P02452,"P1NP, PINP",Protein
N-terminal telopeptide,P02452,"NTX, NTX-I, N-terminal cross-linking telopeptide",Protein
Anticardiolipin antibody,P02749,"aCL, ACA",Protein
Anti-beta2 glycoprotein 1,P02749,"Anti-β2GP1, Anti-Apolipoprotein H, APOH antibody",Protein
Muellerian-inhibiting factor,P03971,"AMH, MIS (Müllerian-inhibiting substance)",Protein
Proinsulin C-peptide,P01308,"C-peptide, Connecting peptide",Protein
Perinuclear Antineutrophil Cytoplasmic Antibodies,P05164,"p-ANCA, MPO-ANCA",Protein
Carbohydrate Antigen 19-9,N/A,"CA 19-9, Sialyl-Lewis A",Protein
Anti-Dengue virus antibody,P27915,"Dengue IgM, Dengue IgG",Protein
Vascular Endothelial Growth Factor,P15692,"VEGF, VEGFA, VPF (Vascular permeability factor)",Protein
Macrophage colony-stimulating factor 1,P09603,"M-CSF, CSF-1",Protein
Amylase,P04746 / P0DUB6,"AMS, alpha-amylase, AMY1A, AMY2A",Protein
Lipoprotein lipase,P06858,"LPL, Lipase, clearing factor",Protein
Antineutrophil cytoplasmic antibodies against proteinase 3,P24158,"c-ANCA, PR3-ANCA",Protein
Calprotectin,P05109 / P06702,"MRP-8/14, S100A8/A9, Calgranulin A/B",Protein
Human Epididymis protein 4,Q14508,"HE4, WFDC2",Protein
Carbohydrate Antigen 125,Q8WXI7,"CA-125, MUC16",Protein
Chromogranin-A,P10645,"CgA, CHGA",Protein
Epstein-Barr virus capsid antigen antibody,P03205,"VCA-IgM, VCA-IgG",Protein
Ceruloplasmin,P00450,"CP, Ferroxidase",Protein
Anti-gliadin antibody IgA,P04724,AGA-IgA,Protein
P-Selectin,P16109,"SELP, CD62P, GMP-140, PADGEM",Protein
Sex hormone-binding globulin,P04278,"SHBG, TeBG (Testosterone-estradiol-binding globulin)",Protein
Des-gamma-carboxy prothrombin,P00734,"DCP, PIVKA-II",Protein
Hepatitis A virus cellular receptor 1,Q96D42,"HAVCR1, KIM-1 (Kidney Injury Molecule-1), TIM-1, TIMD-1",Protein
Neutrophil Gelatinase associated lipocalin,P80188,"NGAL, LCN2, Siderocalin",Protein
Interleukin-18,Q14116,"IL-18, IGIF, IL-1g",Protein
Hepatocyte growth factor,P14210,"HGF, SF (Scatter Factor)",Protein
Cystatin-C,P01034,CST3,Protein
N-acetyl-beta-D-glucosaminidase,P07686 / P08173,"NAG, Hexosaminidase, HEXA, HEXB",Protein
Chemokine interferon inducible protein 10,P02778,"CXCL10, IP-10, C7",Protein
Total Protein,N/A,TP,Protein
Fibronectin,P02751,"FN1, LETS",Protein
Nuclear Ribonucleoprotein H1 antibodies,P09012,"Anti-RNP, Anti-U1-RNP",Protein
Anti-ribosomal P antibodies,P05388,"Anti-P, Rib-P",Protein
Anti-Smith Antibodies,P62318,Anti-Sm,Protein
Anti-double stranded DNA antibodies,N/A,Anti-dsDNA,Protein
Hemoglobin subunit beta,P68871,"HBB, Beta-globin",Protein
Glucose-6-phosphate 1-dehydrogenase,P11413,G6PD,Protein
Gastrin,P01350,GAST,Protein
Acetylcholinesterase,P22303,"ACHE, AChE",Protein
Amyloid Beta 42,P05067,"Aβ42, Aβ-42, Amyloid beta 1-42",Protein
Vasopressin-neurophysin 2-copeptin,P01185,"Copeptin, CPP, AVP-NPII",Protein
Apolipoprotein E,P02649,APOE,Protein
Beta-2-microglobulin,P61769,B2M,Protein
Bone specific alkaline phosphatase,P05187,"BSAP, BAP, BALP, ALPL",Protein
Brain natriuretic peptide,P16860,"BNP, NPPB",Protein
Butyrylcholinesterase,P06276,"BCHE, ChE",Protein
CA 19-9 tumor marker,N/A,"CA 19-9, Carbohydrate Antigen 19-9, Sialyl-Lewis A",Protein
Calcitonin,P01258,CALCA,Protein
Chymotrypsin,P17538,"CTRC, CTRB1",Protein
Complement C1,P02745,"C1, C1q, C1r, C1s",Protein
Complement C2,P06681,C2,Protein
Complement C3,P01024,C3,Protein
Complement C4,P0C0L4 / P0C0L5,"C4, C4a, C4b",Protein
Pancreatic elastase-1,P08861,"ELA1, CELA1",Protein
Ferritin,P02792 / P02794,"FTH1, FTL",Protein
Gammaglutamyl transferase (GGT),P19440,"GGT, GGTP, GGT1",Protein
Haptoglobin,P00738,HP,Protein
Hemoglobin,P69905 / P68871,"Hb, Hgb",Protein
IgA,P01876 / P01877,Immunoglobulin A,Protein
IgE,P01854,Immunoglobulin E,Protein
IgG,P01857,Immunoglobulin G,Protein
IgM,P01871,Immunoglobulin M,Protein
Insulin,P01308,INS,Protein
Insulin-like growth factor 1,P05019,"IGF-1, Somatomedin C",Protein
Interleukin-6,P05231,IL-6,Protein
Interferon gamma,P01579,"IFN-gamma, IFNG",Protein
Lactate dehydrogenase,P00338,"LDH, LDHA, LDHB",Protein
Lactotransferrin,P02788,"LTF, Lactoferrin",Protein
Parathyroid hormone,P01270,"PTH, Parathyrin",Protein
Adrenocorticotropic hormone,P01189,"ACTH, Corticotropin, POMC",Protein
Transglutaminase IgA antibody,P21980,"Anti-tTG, tTG-IgA",Protein
Renin,P00797,REN,Protein
Cardiac Troponin T,P45379,"cTnT, TNNT2",Protein
Cardiac Troponin I,P19429,"cTnI, TNNI3",Protein
Transthyretin,P02766,"TTR, Prealbumin",Protein
Erythropoietin,P01588,EPO,Protein
Thyroid stimulating hormone,P01222,"TSH, Thyrotropin",Protein
Thyroglobulin,P01266,TG,Protein
Prothrombin,P00734,"F2, Coagulation factor II",Protein
Tryptase,Q15661,TPSAB1,Protein
Antimullerian hormone,P03971,"AMH, MIS (Müllerian-inhibiting substance)",Protein
Antithrombin,P01008,"AT, SERPINC1",Protein
Sex hormone binding globulin,P04278,"SHBG, TeBG",Protein
Apolipoprotein B-100,P04114,"ApoB, ApoB-100",Protein
Von Willebrand Factor,P04275,VWF,Protein
Apolipoprotein A1,P02647,"ApoA-I, ApoA1",Protein
Clostridium difficile glutamate dehydrogenase,Q59345,GDH,Protein
Transferrin receptor (soluble),P02786,"sTfR, TFRC, CD71",Protein
Estrogen receptor,P03372,"ER, ESR1",Protein
Progesterone receptor,P06401,"PR, PGR",Protein
Fibrinogen,P02671 / P02675,"Fibrinogen alpha/beta/gamma chain, FGA, FGB, FGG",Protein
Factor V,P12259,"F5, Proaccelerin",Protein
Transferrin,P02787,"TF, Serotransferrin",Protein
Follicle stimulating hormone,P01225,"FSH, Follitropin",Protein
Hemoglobin S,P68871,"HbS, Sickle hemoglobin",Protein
HER2,P04626,"ERBB2, NEU, NGL, CD340",Protein
Human Chorionic Gonadotropin,P0DN86,"hCG, Beta-hCG, CGB",Protein
Human growth hormone,P01241,"hGH, GH, GH1, Somatotropin",Protein
Kappa/Lambda light chains,N/A,"KLC, LLC, Free light chains (FLC)",Protein
Lactoferrin,P02788,"LTF, Lactotransferrin",Protein
Leptin,P41159,"LEP, OB",Protein
Luteinizing hormone,P01229,"LH, Lutropin, LSHB",Protein
Myoglobin,P02144,MB,Protein
Tau protein,P10636,"MAPT, Tau",Protein
Tartrate resistant acid phosphatase,P13686,"TRAP, ACP5",Protein
Procalcitonin,P01258,"PCT, CALCA",Protein
Prolactin,P01236,PRL,Protein
Prostate specific antigen,P07288,"PSA, KLK3, Kallikrein-3",Protein
Protein C,P04070,PROC,Protein
Protein S,P07225,PROS1,Protein
Albumin,P02768,ALB,Protein
Aspartate aminotransferase,P17174,"AST, SGOT, GOT1",Protein
Aldolase,P04075 / P09972,"Aldolase, ALDOA, ALDOB, ALDOC",Protein
Alanine transaminase,P24298,"ALT, SGPT, GPT",Protein
Anti-gliadin antibody IgG,P04724,AGA-IgG,Protein
D-dimer,P02671,D-dimer,Protein
Proliferation marker protein Ki-67,P46013,"Ki-67, MKI67",Protein
Urokinase-type plasminogen activator,P00749,"uPA, PLAU",Protein
Plasminogen activator inhibitor 1,P05121,"PAI-1, SERPINE1",Protein
Alkaline Phosphatase,P05186 / P07339,"ALP, ALKP, ALPL, ALPI",Protein
C-X-C Motif Chemokine 9,Q07325,"CXCL9, MIG",Protein
Carcinoembryonic antigen,P06731,"CEA, CEACAM5",Protein
Cluster of Differentiation 163,Q86VB7,CD163,Protein
Creatine Kinase,P06732,"CK, CPK, CKM, CKB",Protein
Interleukin-10,P22301,IL-10,Protein
Interleukin-1 beta,P01584,"IL-1B, IL-1β",Protein
Pancreatic Amylase,P04746,"AMY2A, P-Amylase",Protein
Gastrin-releasing peptide,P07492,"GRP, Pro-GRP",Protein
Rheumatoid Factor,N/A,RF,Protein
Squamous cell carcinoma antigen,P29508 / P48635,"SCCA, SERPINB3, SERPINB4",Protein
Tumor necrosis factor,P01375,"TNF, TNF-alpha, TNFA",Protein
Neurofilament Light Polypeptide,P07196,"NfL, NEFL",Protein
Gamma-Enolase,P09104,"Enolase 2, ENO2, NSE (Neuron-specific enolase)",Protein
Neurotensin,P30990,"NTS, Pro-NT",Protein
Pancreatic Polypeptide,P01298,PP,Protein
Porphobilinogen Deaminase,P08397,"PBGD, HMBS",Protein
Prostatic Acid Phosphatase,P15309,"PAP, ACPP",Protein
Protein S-100B,P04271,S100B,Protein
SS-A/Ro Antibodies,Q8IXI5 / P19474,"Anti-SSA, Anti-Ro, Ro-52, Ro-60",Protein
SS-B/La Antibodies,P05455,"Anti-SSB, Anti-La",Protein
Thrombopoietin,P40225,"THPO, TPO",Protein
Thyroxine-binding Globulin,P05543,"TBG, SERPINA7",Protein
Beta-Galactosidase,P16278,GLB1,Protein
Cytosolic Beta-Glucosidase,Q9H227,GBA3,Protein
Beta-Glucuronidase,P08236,GUSB,Protein
Biotinidase,P43251,BTD,Protein
C1q Complement,P02745,C1q,Protein
C5 Complement,P01031,C5,Protein
C6 Complement,P13671,C6,Protein
C7 Complement,P10643,C7,Protein
C8 Complement,P07360 / P07357,"C8, C8A, C8B",Protein
C9 Complement,P02748,C9,Protein
Chromogranin A,P10645,"CgA, CHGA",Protein
Coagulation Factor IX,P00740,"F9, Christmas factor",Protein
Coagulation Factor VII,P08709,"F7, Proconvertin",Protein
Coagulation Factor VIII,P00451,F8,Protein
Coagulation Factor X,P00742,"F10, Stuart-Prower factor",Protein
Coagulation Factor XI,P03951,F11,Protein
Coagulation Factor XII,P00748,"F12, Hageman factor",Protein
Angiotensin I,P01019,"Ang I, Angiotensin-1",Protein
Alpha-1-Acid Glycoprotein,P02763,"A1AG, ORM1, Orosomucoid",Protein
Alpha-Galactosidase,P06280,GLA,Protein
Aminolevulinic Acid Dehydratase,P13716,"ALAD, Porphobilinogen synthase",Protein
Adenylate kinase enzyme,P00568 / P27144,"AK1, AK2",Protein
Zinc transporter 8,Q8IWU4,"ZnT8, SLC30A8",Protein
Vasoactive intestinal polypeptide,P01282,VIP,Protein
Uroporphyrinogen Decarboxylase,P06132,UROD,Protein
Lipase,P16233,"Pancreatic lipase, PNLIP",Protein
Alpha-2-Macroglobulin,P01023,A2M,Protein
Galactokinase,P51570,GALK1,Protein
Galactose-1-Phosphate Uridyltransferase,P07902,GALT,Protein
Galectin-3,P17931,LGALS3,Protein
Glucose Phosphate Isomerase,P06744,"GPI, Phosphoglucose isomerase (PGI)",Protein
Pyruvate Kinase,P14618 / P30613,"PK, PKM, PKLR",Protein
Hexokinase,P19367,"HK1, HK2",Protein
Adenylate Kinase,P00568,AK1,Protein
Phosphofructokinase,P08237,"PFK, PFKP, PFKM",Protein
Phosphoglycerate Kinase,P00558,PGK1,Protein
Triosephosphate Isomerase,P60174,TPI1,Protein
Iduronate-2-Sulfatase,P22304,"IDS, Hunter syndrome protein",Protein
